Treatment	Replicate	Leaf	Day	Sample_name	PS	CAM	CM	TD	CA	BFC	Bodo	Mites	Rotifers	FatCAM	Spinning_square	Nematodes	Mosquito_larvae	Hairy_flat	Large_bodo
C	8	T	5	C8T5	7830	92	0	0	0	0	0	0	6	0	0	0	0	0	0
P	8	T	5	P8T5	22	0	0	0	0	0	0	8	0	0	0	0	0	0	0
O	8	T	5	O8T5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
N	8	T	5	N8T5	550.8	0	0	0	285.6	4	0	0	0	0	0	0	0	0	0
C	1	T	6	C1T6	91	0	0	0	0	0	0	0	5	0	0	0	0	0	0
P	1	T	6	P1T6	3294	0	414.8	0	0	0	0	0	1	0	0	0	0	0	0
O	1	T	6	O1T6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	1	T	6	N1T6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
C	2	T	6	C2T6	625.6	0	7	0	0	0	86	0	1	0	0	0	0	0	0
P	2	T	6	P2T6	4752	3	3	0	6	0	0	0	2	2	0	0	0	3	3
O	2	T	6	O2T6	109	0	0	0	0	0	0	4	0	0	0	0	0	0	0
N	2	T	6	N2T6	0	3	0	0	0	0	0	0	9	0	0	0	0	0	0
C	3	T	6	C3T6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
P	3	T	6	P3T6	17388	0	0	0	0	0	0	0	1	0	0	0	0	0	0
O	3	T	6	O3T6	0	0	0	0	634.4	0	0	0	3	0	0	0	0	0	0
N	3	T	6	N3T6	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0
C	4	T	6	C4T6	4077	0	0	0	0	0	0	0	12	0	0	0	0	0	0
P	4	T	6	P4T6	18900	0	0	0	0	0	0	0	1	0	0	0	0	0	0
O	4	T	6	O4T6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
N	4	T	6	N4T6	2060.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	5	T	6	C5T6	2	10	0	0	0	0	0	5	16	0	0	0	0	0	0
P	5	T	6	P5T6	0	18	0	0	0	0	0	1	1	0	0	0	0	0	0
O	5	T	6	O5T6	10	0	0	0	0	0	0	3	0	0	0	0	0	0	0
N	5	T	6	N5T6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C	6	T	6	C6T6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	6	T	6	P6T6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
O	6	T	6	O6T6	108	0	0	0	0	0	0	6	38	0	0	0	0	0	0
N	6	T	6	N6T6	0	8	2	0	0	2592	0	0	4	0	0	0	0	0	0
C	7	T	6	C7T6	290	8	8	0	0	0	0	0	2	0	0	0	0	0	0
P	7	T	6	P7T6	21	0	0	0	0	0	0	0	14	0	0	0	0	0	0
O	7	T	6	O7T6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	7	T	6	N7T6	0	0	307	0	7	0	0	2	1	0	0	0	0	0	0
C	8	T	6	C8T6	605.2	108	0	0	0	0	0	1	13	0	0	0	0	0	0
P	8	T	6	P8T6	5049	0	0	0	2	0	0	2	2	0	0	0	0	0	0
O	8	T	6	O8T6	15336	0	0	0	2	0	0	0	0	0	0	0	0	0	0
N	8	T	6	N8T6	598.4	0	9	0	7	0	0	0	2	0	0	0	0	0	0
C	1	T	7	C1T7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	1	T	7	P1T7	12960	0	0	0	38	0	0	0	0	0	0	0	0	0	38
O	1	T	7	O1T7	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
N	1	T	7	N1T7	0	0	217.6	0	0	6	0	0	2	0	0	0	0	0	0
C	2	T	7	C2T7	537.2	0	0	0	108	0	197.2	0	0	0	0	0	0	0	0
P	2	T	7	P2T7	4320	2	3	0	9	0	0	0	3	0	0	0	0	0	3
O	2	T	7	O2T7	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0
N	2	T	7	N2T7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
C	3	T	7	C3T7	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0
P	3	T	7	P3T7	4239	0	0	0	0	0	7	0	0	0	0	0	0	0	10
O	3	T	7	O3T7	10	14	15	0	79	0	5	0	6	0	0	0	0	0	0
N	3	T	7	N3T7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
C	4	T	7	C4T7	1917	0	0	0	0	0	0	1	11	0	0	0	0	0	0
P	4	T	7	P4T7	27756	0	0	0	0	0	14	0	3	0	0	0	0	0	0
O	4	T	7	O4T7	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
N	4	T	7	N4T7	5535	0	0	0	84	0	0	0	0	0	0	0	0	0	0
C	5	T	7	C5T7	0	156	0	0	0	0	0	11	43	0	0	0	0	0	0
P	5	T	7	P5T7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	5	T	7	O5T7	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0
N	5	T	7	N5T7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C	6	T	7	C6T7	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	6	T	7	P6T7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
O	6	T	7	O6T7	0	0	0	0	0	0	8694	1	45	0	0	0	0	0	0
N	6	T	7	N6T7	1863.2	4	16	0	0	0	0	0	12	0	0	0	0	0	0
C	7	T	7	C7T7	404	2	11	0	6	0	0	0	21	0	0	0	0	0	0
P	7	T	7	P7T7	30	0	0	0	0	0	0	0	11	0	0	0	0	0	0
O	7	T	7	O7T7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	7	T	7	N7T7	0	0	241	0	72	0	0	3	10	0	0	0	0	0	0
C	8	T	7	C8T7	856.8	94	5	0	0	0	0	7	5	0	0	0	0	0	0
P	8	T	7	P8T7	4428	0	12	0	2	0	0	0	1	0	0	0	0	0	0
O	8	T	7	O8T7	9801	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	8	T	7	N8T7	741.2	0	21	0	13	0	0	0	0	0	0	0	0	0	0
